text,isDeleted,favorites,retweets,day,time,contains_word,wall,fake_news,media,democrat,great,proud_boys,election_period
who will be running for governor of the great state of ohio will be hotly contested,f,218908,30412,11/16/2020,14:49,1,0,0,0,0,1,0,Post
another vaccine just announced this time by moderna 95 effective for those great â€œhistoriansâ€ please remember that these great discoveries which will end the china plague all took place on my watch,f,318583,51556,11/16/2020,14:19,1,0,0,0,0,1,0,Post
the fake recount going on in georgia means nothing because they are not allowing signatures to be looked at and verified break the unconstitutional consent decree,f,254635,50961,11/16/2020,14:04,0,0,0,0,0,0,0,Post
georgia get out and vote for two great senators  and  so important to do so,f,215340,41746,1/5/2021,15:02,1,0,0,0,0,1,0,Post
see you in dc ,f,127896,25649,1/5/2021,15:27,0,0,0,0,0,0,0,Post
floyd county georgia ,f,182698,52653,11/18/2020,16:23,0,0,0,0,0,0,0,Post
and a great show by  tonight watched it on way from ohio to wisconsin ,f,46814,7490,10/25/2020,0:56,1,0,0,0,0,1,0,Post
the vice president has the power to reject fraudulently chosen electors,f,429984,90069,1/5/2021,16:06,0,0,0,0,0,0,0,Post
this was a rigged election no republican poll watchers allowed voting machine â€œglitchesâ€ all over the place meaning they got caught cheating voting after election ended and so much more ,f,141951,33060,11/18/2020,14:11,0,0,0,0,0,0,0,Post
law enforcement is watching and involved so dishonest ,f,57711,16609,10/25/2020,1:02,0,0,0,0,0,0,0,Post
thank you wisconsin,f,65024,11259,10/25/2020,2:29,0,0,0,0,0,0,0,Post
nolte bret baier deletes tweet that exposed backlash against fox news  via ,f,134308,33954,11/10/2020,5:18,0,0,0,0,0,0,0,Post
reports are coming out of the 12th congressional district of georgia that dominion machines are not working in certain republican strongholds for over an hour ballots are being left in lock boxes hopefully they count them thank you congressman ,f,198868,54896,1/5/2021,18:18,0,0,0,0,0,0,0,Post
this is the most important election in the history of our country with your vote we will continue to bring back your jobs lower drug prices support our police protect the 2a defend our borders and ensure more products are proudly sted with the phrase made in the usa ,f,103361,22438,10/25/2020,2:42,0,0,0,0,0,0,0,Post
we withdrew because we won ,f,191015,36464,11/19/2020,20:27,0,0,0,0,0,0,0,Post
georgia get out today and vote for  and  ,f,166781,33228,1/5/2021,19:25,0,0,0,0,0,0,0,Post
nothing ,f,252613,47939,11/10/2020,5:38,0,0,0,0,0,0,0,Post
